EMP ID,ENAME,EAGE,GENDER,DOMAIN,PROJECTS,DESIGNATION,EXPERIENCE,SALARY
1,SAI TEJA,22,MALE,CSE,2,DATA ANALYST,2,4
2,NAVEEN,34,MALE,CSE,3,DATA ANALYST,3,5
3,HARSHA,44,MALE,CSE,4,DATA ANALYST,4,2
4,TANUJ,22,MALE,CSE,2,DATA ANALYST,2,6
5,KARTHIK,23,MALE,CSE,3,DATA ANALYST,3,7
6,ARAVIND,43,MALE,CSE,1,DATA ANALYST,2,8
7,CHARVITHA,43,FEMALE,CSE,2,DATA ANALYST,3,6
8,RAKSHITHA,23,FEMALE,CSE,3,DATA ANALYST,4,5
9,ANUSHKA,22,FEMALE,CSE,3,DATA ANALYST,4,7
10,PRABHAS,21,MALE,CSE,4,DATA ANALYST,2,9
11,RAVI,22,MALE,,,DATA ANALYST,3,16
